Comment,Description,Designator,Footprint,LibRef,Quantity

"XT30PW-M","Connector","","XT30PWM","XT30PW-M","1"
"PHASE_A","","A","PAD_HOLE","3MM_PAD","1"
"PHASE_B","","B","PAD_HOLE","3MM_PAD","1"
"PHASE_C","","C","PAD_HOLE","3MM_PAD","1"
"100n","Capacitor","C101, C102, C103, C104, C106, C107, C110","CAPC1005X55N","CAP_0402_16V","7"
"4u7","Capacitor","C105","CAPC1608X90N","CAP_0603_16V","1"
"470p","Capacitor","C108","CAPC1005X55N","CAP_0402_16V","1"
"1u","Capacitor","C109, C111, C204, C205","CAPC1005X55N","CAP_0402_16V, CAP_0402_50V","4"
"10p","Capacitor","C112, C113","CAPC1005X55N","CAP_0402_16V","2"
"10uF","Capacitor","C201","CAPC1608X90N","CAP_0805_50V","1"
"100n","Capacitor","C202","CAPC1608X90N","CAP_0603_100V","1"
"47n","Capacitor","C203","CAPC1005X55N","CAP_0402_50V","1"
"100n","Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel","C206, C207, C208","CAPC1050X55X23ML05T13","CMP-2000-05439-1","3"
"2u2","Capacitor","C301, C302","CAPC1608X90N","CAP_0603_50V","2"
"10u","Capacitor","C303, C304, C305, C306, C307, C308, C309, C310, C311, C312, C313, C314, C315, C316, C317, C318","CAPC1608X90N","CAP_0805_50V","16"
"RED","","D101","150040GS73220","RED_0402_LED","1"
"GRN","","D301","150040GS73220","GRN_0402_LED","1"
"BLM15AG121SN1D","Chip Ferrite Bead, 0402, 120O @ 100MHz, 0.19O, 25%, 550mA","FB101","FP-BLM15-0_05-MFG","CMP-0686-00170-4","1"
"JST-6","","J101","JST_S6B-ZR-SM4A-TF(LF)(SN)","JST-6","1"
"MH","","MH1, MH2, MH3, MH4","MH","MH","4"
"440055-3","CONN HEADER R/A 3POS 2MM","P102","FP-440055-3-MFG","CMP-03369-000061-1","1"
"NTTFS3D7N06HLTWG","","Q201, Q202, Q203, Q204, Q205, Q206","PQFN-8","NTTFS3D7N06HLTWG","6"
"120","","R101, R102","RESC1005X40N","RES_0402","2"
"22","","R103","RESC1005X40N","RES_0402","1"
"47","","R104","RESC1005X40N","RES_0402","1"
"0","","R105","RESC1005X40N","RES_0402","1"
"1k","","R106, R301","RESC1005X40N","RES_0402","2"
"2k2","","R201, R202","RESC1608X55N","RES_0603","2"
"5m","","R203, R204, R205","RESC3216X80N","RES_1206","3"
"STM32G431K6T6","","U101","QFP80P900X900X160-32N","STM32G431K6T6","1"
"AS5247U","ams AS5247U Magnetic Rotary Position Sensor","U102","QFN-N32-THM","AS5247U","1"
"TCAN337GDR","Integrated Circuit","U103","SOIC127P600X175-8N","TCAN337GDR","1"
"ADC121C021CIMK_NOPB","Integrated Circuit","U104","SOT95P280X110-6N","ADC121C021CIMK_NOPB","1"
"DRV8350FSRTVR","","U201","WQFN-N32-THM","DRV8350FSRTVR","1"
"INA240A4EDRQ1","Integrated Circuit","U202, U203, U204","SOIC127P600X175-8N","INA240A4EDRQ1","3"
"MCP1792-3302H_DB","Integrated Circuit","U301","SOT230P700X180-4N","MCP1792-3302H_DB","1"
"ECX-1637","","Y101","ECX-1637","ECX-1637","1"
